Fred Mitchell,Sandy Alomar Jr,Jeff Bagwell,Craig Biggio,Barry Bonds,Jeff Cirillo,Royce Clayton,Roger Clemens,Jeff Conine,Steve Finley,Julio Franco,Shawn Green,Roberto Hernandez,Ryan Klesko,Kenny Lofton,Edgar Martinez,Don Mattingly,Fred McGriff,Mark McGwire,Jose Mesa,Jack Morris,Dale Murphy,Rafael Palmeiro,Mike Piazza,Tim Raines,Reggie Sanders,Curt Schilling,Aaron Sele,Lee Smith,Sammy Sosa,Mike Stanton,Alan Trammell,Larry Walker,Todd Walker,David Wells,Rondell White,Bernie Williams,Total Votes on Ballot,Ballot Link,Woody Williams
Philip Hersh,,,1,,,,,,,1,,,,,1,1,,,,1,,,,1,,1,,1,,,1,1,,,,,10,http://trib.in/VCLpJb,
Jon Heyman,,,,,,,,,,,,,,,,1,1,,,1,1,,,1,,1,,,,,,,,,,,6,http://cbsprt.co/RD7yXj,
Pat Hickey,,,1,,,,,,,,,,,,,,,,,1,,,1,1,,1,,1,,,1,,,1,,,8,http://bit.ly/TUTVCa,
Bob Hillie,,1,1,1,,,1,,,,,,,,,,,1,,1,,1,1,,,,,,1,,1,,,,,,10,http://bit.ly/WbjhJk,
Garry D Howard,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,1,,,,,,,,,4,http://bit.ly/WbjhJk,
Rick Hurd,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,1,,,,,,,,,4,http://bit.ly/UBOD1x,
Mike Imrem,,1,,1,,,1,,,,,,,1,,,,1,,1,,,1,,,1,,1,1,,,,,,,,10,http://bit.ly/VZp1pp,
Jim Ingraham,,,1,,,,,,,,,,,1,1,,1,,,1,,,,1,,,,,,,,,,,,,6,http://bit.ly/VmPVvj,
Jeff Jacobs,,1,1,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,5,http://cour.at/XGQygT,
Joey Johnston,,1,1,1,,,1,,,,,,,,,,1,,,1,,,1,1,,1,,,,,,,,,,,9,http://bit.ly/Vg8qSG,
Richard Justice,,1,1,1,,,1,,,,,,,,1,,,,,1,1,,,1,,1,,,,,1,,,,,,10,http://atmlb.com/UtyNlW,
Tim Kawakami,,1,1,1,,,1,,,,,,,,,,,,,1,1,,,1,,1,,,,,,,,,,,8,http://bit.ly/TscRHE,
Danny Knobler,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,3,http://cbsprt.co/Vkr6Oc,
David Lennon,,1,1,1,,,1,,,,,,,,,,,,,1,,,1,1,,1,,,,,,,,,,,8,http://bit.ly/VCLT25,
Dick Kaegel,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,http://atmlb.com/XJ90ee,
Roch Kubatko,,,1,,,,,,,,,,,,1,,1,,,1,1,,1,1,,,,1,,,1,,,,,,9,http://bit.ly/Ux7yb2,
Tim Kurkijan,,1,1,1,,,1,,,,,,,,1,,,,,1,,,1,1,,1,,,,,,,,,,,9,http://es.pn/VfYlFw,
Jack McCaffery,,1,1,1,,,1,,,,,,,,,,,1,,1,,,1,,,1,,,,,1,,,,,,9,http://bit.ly/YBWm1x,
Bill Madden,,,1,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,4,on WFAN,
Steven Marcus,,,1,1,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,5,http://bit.ly/VCLT25,
Marc Maturo,,,1,1,,,1,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,7,http://bit.ly/TsbEA9,
Lenny Magliola,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,http://bit.ly/VCKPew,
Bruce Miles,,1,1,,,,,,,,,,,,1,,,,,1,,,1,1,,1,,1,,,1,,,,,,9,http://bit.ly/VZp1pp,
Scott Miller,,,1,,,,,,,,,,,,,,1,,,1,1,,,1,,,,,,,1,,,,,,6,http://cbsprt.co/UCNBm6,
Fred Mitchell,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,3,http://trib.in/VCLpJb,
Roger Mooney,,1,1,,,,,,,,,,,,1,,1,,,1,,,,1,,1,,1,,,1,1,,,,,10,http://bit.ly/Vg8qSG,
Gene Myers,,1,1,,,,,,,,,,,,1,,,,,1,1,,1,1,,1,,1,,,1,,,,,,10,http://on.freep.com/XaQFTo,
Mike Nadel,,,1,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,4,http://bit.ly/RknoGn,
Bob Nightengale,,,1,1,,,1,,,,,,,,,,1,,,1,,1,1,,,,,1,1,,1,,,,,,10,http://usat.ly/UBq0lK,
Marty Noble,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,http://atmlb.com/XJ90ee,
Ian O'Connor,,1,1,1,,,1,,,,,,,,,,,,,1,,,1,1,,1,,1,,,,,,,,,9,http://es.pn/VfYlFw,
