"Aaron Boone","Alan Trammell","Barry Bonds","Brian Giles","Carlos Delgado","Cliff Floyd","Craig Biggio","Curt Schilling","Darin Erstad","Don Mattingly","Eddie Guardado","Edgar Martinez","Fred McGriff","Gary Sheffield","Jack Morris","Jason Schmidt","Jeff Bagwell","Jeff Kent","Jermaine Dye","John Smoltz","Larry Walker","Lee Smith","Mark McGwire","Mike Mussina","Mike Piazza","Moises Alou","Nomar Garciaparra","Pedro Martinez","Randy Johnson","Rich Aurilia","Roger Clemens","Sammy Sosa","Tim Raines","Tom Gordon","Tony Clark","Troy Percival","timestamp"
"Joe Rutter","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41643"
"Joel Sherman","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","1","0","1","0","0","0","41643"
"John Altavilla","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","41643"
"John Black","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","1","0","1","0","0","0","0","0","41645"
"John Delcos","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41633"
"John Fay","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","41643"
"John Harper","0","1","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41643"
"John McGrath","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41630"
"John Nadel","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0","0","1","1","0","1","1","0","0","0","0","41645"
"John Perrotto","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","1","1","0","1","0","0","0","0","0","41641"
"John Shea","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41643"
"John Tomase","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","0","1","0","0","0","0","0","41638"
"Jon Heyman","0","1","0","0","0","0","1","1","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","41635"
"Jorge Ebro","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","41631"
"Jose de Jesus Ortiz","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41625"
"Josh Dubow","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41632"
"Juan C Rodriguez","0","1","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41645"
"Juan Vene","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","41633"
"Ken Daley","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41643"
"Ken Davidoff","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","1","0","0","1","1","0","1","0","0","0","0","0","41640"
"Ken Fidlin","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41645"
"Ken Rosenthal","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41627"
"Kevin Cooney","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41623"
"Kevin Kernan","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41642"
"Kevin Modesti","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","1","1","0","1","1","1","0","0","0","41643"
"Kirby Arnold","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","41643"
"La Velle Neal","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41643"
"Larry Stone","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41618"
"Lawrence Rocca","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","41642"
"Leslie Gibson McCarthy","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41645"
"Lisa Nehus Saxon","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","41645"
"Lyle Spencer","0","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41642"
"Marc Lancaster","0","1","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","41636"
"Marc Maturo","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41645"
"Marc Topkin","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0","41627"
"Marcos Breton","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41641"
"Mark Camps","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","1","1","0","1","0","0","0","0","0","41630"
"Mark Faller","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41626"
"Mark Gonzales","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41639"
"Mark Hale","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","1","0","0","0","0","0","41632"
"Mark Herrmann","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","41642"
"Mark Kreidler","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","41634"
"Mark Newman","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0","41642"
"Mark Purdy","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","41642"
"Mark Saxon","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41633"
"Mark Zuckerman","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41643"
"Marty Noble","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","41626"
"Mel Antonen","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41631"
"Michael Chesnick","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41645"
"Michael Gee","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41618"
"Michael Knisley","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","41641"
"Michael Martinez","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","41641"
"Michael Silverman","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","1","0","1","0","0","0","41631"
"Mike Bass","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","1","0","1","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","41635"
"Mike Bauman","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","41642"
"Mike Berardino","0","1","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","41634"
"Mike Dyer","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","1","0","1","1","1","0","0","0","41601"
"Mike Imrem","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0","0","1","1","0","1","1","0","0","0","0","41640"
"Mike Lefkow","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","1","0","0","0","0","1","1","0","1","0","0","0","0","0","41630"
"Mike Nadel","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41629"
"Mike Puma","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0","41642"
"Mike Shalin","0","0","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41630"
"Mike Vaccaro","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41625"
"Nick Cafardo","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0","41629"
"Nick Canepa","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","41643"
"Nick Pietruszkiewicz","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41641"
"Pat Caputo","0","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","1","0","0","0","1","0","0","0","41642"
"Paul Bodi","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","41645"
"Paul Daugherty","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41643"
"Paul Doyle","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41642"
"Paul Gutierrez","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41641"
"Paul Sullivan","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","41639"
"Pedro Gomez","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","41641"
"Pete Caldera","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0","41642"
"Peter Abraham","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","1","0","1","0","0","0","41629"
"Peter Botte","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41628"
"Peter Gammons","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41636"
"Peter Pascarelli","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41641"
"Phil Hersh","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","1","1","0","1","0","0","0","1","1","0","0","0","1","0","0","0","41639"
"Phil Rogers","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41628"
"Randy Miller","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","41641"
"Ray Ratto","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","1","0","1","0","0","0","41643"
"Richard Griffin","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41642"
"Richard Justice","0","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","1","0","1","0","0","0","0","0","41642"
"Rick Gosselin","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","41640"
"Rick Hurd","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","1","0","1","0","1","0","0","0","41642"
"Rick Plumlee","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","41623"
"Rob Biertempfel","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","41642"
"Rob Maaddi","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","0","1","1","1","0","0","0","41277"
"Rob Parker","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","1","0","0","0","0","1","1","0","1","1","0","0","0","0","41642"
"Rob Rains","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41643"
"Roberto Colon","0","0","1","0","0","0","1","0","0","0","0","1","0","1","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0","41642"
"Roch Kubatko","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41643"
"Roger Mooney","0","1","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41642"
"Roger Rubin","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","41643"
"Ron Chimelis","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","1","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41622"
"Ron Kroichick","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","41643"
"Ross Newhan","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41634"
"Russ White","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41641"
"Sam Carchidi","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","41638"
"Scot Gregor","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41640"
"Scott Miller","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","41642"
"Scott Priestle","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41625"
"Sean Horgan","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","41635"
"Shi Davidi","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","1","1","0","1","0","1","0","0","0","41643"
"Stan McNeal","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41642"
"Stave Aschburner","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","1","0","0","0","1","0","0","0","41642"
"Stephen Jacobson","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41626"
"Steve Buckley","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41628"
"Steve Henson","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","1","1","1","0","0","0","41645"
"Steve Kornacki","0","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0","0","1","1","0","0","0","0","0","0","0","41645"
"Steve Popper","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","1","0","0","0","0","0","41629"
"Steve Simmons","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41627"
"Steven Gietschier","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","1","0","1","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","41645"
"Steven Goldman","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41645"
"Steven Marcus","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","41642"
"Susan Slusser","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41642"
"TR Sullivan","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","1","0","1","0","0","0","41631"
"Teddy Greenstein","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41639"
"Terence Moore","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","41642"
"Thom Loverro","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","41625"
"Tim Cowlishaw","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41640"
"Tim Kawakami","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41631"
"Tim Kurkjian","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41641"
"Tom DAngelo","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41626"
"Tom Haudricourt","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","41642"
"Tom Keegan","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","1","1","0","1","0","0","0","0","0","41643"
"Tom Singer","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","0","0","1","0","0","1","1","0","1","0","0","0","0","0","41642"
"Tom Verducci","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","0","1","0","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","41639"
"Tom Yantz","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41643"
"Tony DeMarco","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","1","1","0","0","0","1","0","0","0","41643"
"Tony Massarotti","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","41629"
"Tracy Ringolsby","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41642"
"Troy Renck","0","1","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41643"
"Wayne Monroe","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","41637"
