"Aaron Boone","Alan Trammell","Barry Bonds","Brian Giles","Carlos Delgado","Cliff Floyd","Craig Biggio","Curt Schilling","Darin Erstad","Don Mattingly","Eddie Guardado","Edgar Martinez","Fred McGriff","Gary Sheffield","Jack Morris","Jason Schmidt","Jeff Bagwell","Jeff Kent","Jermaine Dye","John Smoltz","Larry Walker","Lee Smith","Mark McGwire","Mike Mussina","Mike Piazza","Moises Alou","Nomar Garciaparra","Pedro Martinez","Randy Johnson","Rich Aurilia","Roger Clemens","Sammy Sosa","Tim Raines","Tom Gordon","Tony Clark","Troy Percival","timestamp"
"Bruce Jenkins","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","0","1","1","0","0","0","0","41643"
"Bruce Miles","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41640"
"C Trent Rosecrans","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","1","0","0","1","1","0","1","0","1","0","0","0","41630"
"Carl Steward","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","41610"
"Carlos Frias","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41630"
"Carrie Muskat","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","41642"
"Carter Gaddis","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","0","0","1","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","41643"
"Chaz Scoggins","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0","0","1","1","0","1","0","0","0","0","0","41645"
"Chris Assenheimer","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","1","1","1","0","0","0","0","0","0","0","41642"
"Chris Bahr","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","0","41620"
"Chris DeLuca","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","1","1","0","0","0","0","41630"
