"Aaron Sele","Alan Trammell","Ballot Link","Barry Bonds","Bernie Williams","Craig Biggio","Curt Schilling","Dale Murphy","David Wells","Don Mattingly","Edgar Martinez","Fred McGriff","Jack Morris","Jeff Bagwell","Jeff Cirillo","Jeff Conine","Jose Mesa","Julio Franco","Kenny Lofton","Larry Walker","Lee Smith","Mark McGwire","Mike Piazza","Mike Stanton","Rafael Palmeiro","Reggie Sanders","Roberto Hernandez","Roger Clemens","Rondell White","Royce Clayton","Ryan Klesko","Sammy Sosa","Sandy Alomar Jr","Shawn Green","Steve Finley","Tim Raines","Todd Walker","Total Votes on Ballot","Woody Williams","timestamp"
"Peter Pascarelli","0","1","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"Philip Hersh","0","1","1","0","0","1","1","0","0","1","1","0","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Pierre Ladouceur","0","1","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0"
"Richard Justice","0","1","1","1","0","1","1","1","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0"
"Rick Hurd","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Rick Telander","0","1","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Rob Biertempfel","0","0","1","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Roch Kubatko","0","1","1","0","0","1","0","1","0","0","1","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Roger Mooney","0","1","1","0","0","1","1","0","0","0","1","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Ron Chimelis","0","0","1","0","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Ron Kroichick","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Ron Rapoport","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0"
"Scot Gregor","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Scott Miller","0","1","1","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Sean McAdam","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Shaun Powell","0","0","1","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"Stan McNeal","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Steve Buckley","0","0","1","0","0","1","1","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Steven Goldman","0","1","1","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Steven Marcus","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"TR Sullivan","0","1","1","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","1","0","0","0","1","0","1","0","0"
"Teddy Greenstein","0","0","1","0","0","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Terence Moore","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Tim Brown","0","1","1","0","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Tim Cowlishaw","0","0","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0"
"Tim Kawakami","0","0","1","1","0","1","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0"
"Tim Kurkjian","0","0","1","1","0","1","1","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0"
"Tom Haudricourt","0","0","1","1","0","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1","0","0"
"Tom Powers","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Tom Singer","0","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"Tom Verducci","0","0","1","0","0","1","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Tony Massarotti","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"Tracy Ringolsby","0","1","1","1","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0"
"Troy Renck","0","1","1","0","0","1","1","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Wallace Matthews","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
