Peter Abraham,x,x,x,x,,,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,9,Boston Globe,1/5/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Albee,x,,,,x,x,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,6,Marin IJ,12/28/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Alexander,x,x,x,x,x,,x,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,9,DM,1/17/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Ammenheuser,x,x,x,x,x,,x,,x,,x,,x,,,x,,,,,,,,,,,,,,,,,,,10,Twitter,12/6/16,,0,0,0,0,0,0,#REF!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,"Schilling, Manny, Wagner",,
Mel Antonen,x,,,x,x,,x,,x,x,x,,x,,,x,,x,,,,,,,,,,,,,,,,,10,MLB Network Radio,12/28/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirby Arnold,x,,,x,x,,x,,x,,x,,x,,,x,,,x,,,,,,,,,,,,,,,,9,DM,12/12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaime Aron,x,,,,x,,x,,x,,x,,x,x,,x,,,,,,,,,,,,,,,,,,,8,Email,12/27/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Assenheimer,x,,,x,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,5,DM,12/26/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Baggarly,x,x,x,x,,,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,7,SJ Mercury News,1/16/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Bahr,x,x,x,x,x,,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,10,Twitter,12/27/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Ballou,x,x,x,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,5,Telegram,12/10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Barzilai,x,x,x,x,,,x,,x,,x,,x,x,,,,,x,,,,,,,,,,,,,,,,10,Twitter,12/27/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Bass,x,,,x,x,x,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,9,Twitter,12/30/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Bauman,x,,,x,x,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,5,MLB.com,1/17/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amalie Benjamin,x,,,x,x,,x,,x,,x,,x,x,,,,x,x,,,,,,,,,,,,,,,,10,Twitter,1/18/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Berardino ,x,,,,,,x,,x,,x,,x,x,,,,,x,,,,,,,,,,,,,,,,7,Midwest Swing Pod,1/10/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Biertempfel,x,,,,x,,,,x,,,,x,x,,x,,,,,,,,,,,,,,,,,,,6,Twitter,1/17/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Blair (did not vote last yr) ,x,x,x,x,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,7,DM,1/11/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry Bloom,x,x,x,x,x,,,,x,x,x,,x,,,x,,,,,,,,,,,,,,,,,,,10,MLB Blog,11/30/16,,0,0,0,0,0,0,#REF!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,"Edgar, Walker",,
Earl Bloom,x,,,x,x,,x,x,,,x,x,x,,,x,,,x,,,,,,,,,,,,,,,,10,DM,11/29/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hal Bodley,x,,,,x,,x,x,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,7,MLB.com,1/17/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filip Bondy,x,x,x,x,x,,x,,,,x,x,x,,,x,,,,,,,,,,,,,,,,,,,10,Email ,12/1/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Booth,x,x,x,x,x,,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,10,Facebook,12/14/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walker,,
Scott Bordow,x,,,,x,,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,7,Facebook,12/30/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Borges,,x,x,x,,,,,,,,x,x,x,,,x,,,,,,,,,,,,,,,,,,7,New Haven Register,12/19/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Botte,x,x,x,x,,x,x,x,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,10,NY Daily News,12/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Bradley ,x,x,x,,,,x,,x,,x,x,x,x,,,,,x,,,,,,,,,,,,,,,,10,Twitter,1/16/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcos Breton,x,x,x,,x,,x,,x,,x,x,x,,,,x,,,,,,,,,,,,,,,,,,10,Twitter,12/12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Brooks,x,x,x,,,,x,,x,,x,,x,,x,,,,x,,,,,,,,,,,,,,,,9,Twitter,12/15/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garry Brown,x,x,x,,x,,x,x,x,,x,x,,x,,,,,,,,,,,,,,,,,,,,,10,Email ,12/3/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Buckley,x,x,x,x,x,,x,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,10,Boston Herald,12/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Burke,x,,,x,x,x,x,,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,8,Facebook,1/4/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
