"Arthur Rhodes","Barry Bonds","Billy Wagner","Carlos Guillen","Casey Blake","Curt Schilling","Derrek Lee","Edgar Martinez","Edgar Renteria","Fred McGriff","Freddy Sanchez","Gary Sheffield","Ivan Rodriguez","J.D. Drew","Jason Varitek","Jeff Bagwell","Jeff Kent","Jorge Posada","Larry Walker","Lee Smith","Magglio Ordonez","Manny Ramirez","Matt Stairs","Melvin Mora","Mike Cameron","Mike Mussina","Orlando Cabrera","Pat Burrell","Roger Clemens","Sammy Sosa","Tim Raines","Tim Wakefield","Trevor Hoffman","Vlad Guerrero","timestamp"
"Paul Sullivan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","42376"
"Paul White","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","42348"
"Peter Abraham","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","42373"
"Peter Barzilai","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","42364"
"Peter Botte","0","1","0","0","0","1","0","1","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","42360"
"Peter Gammons","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","1","42370"
"Phil Rogers","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","42364"
"Randy Miller","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","42374"
"Richard Griffin","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","42375"
"Richard Justice","0","1","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","42347"
"Rick Gosselin","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0","1","0","42374"
"Rick Morrissey","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","42353"
"Rick Plumlee","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","42365"
"Rob Maaddi","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","1","1","1","0","1","0","42371"
"Rob Rains","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","42379"
"Roberto Colon","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","1","1","42367"
"Roch Kubatko","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0","1","1","42357"
"Roger Mooney","0","1","0","0","0","1","0","1","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","42381"
"Roger Rubin","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","42368"
"Ryan Fagan","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","0","1","42365"
"Sam Mellinger","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","1","0","0","0","42354"
"Scot Gregor","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","42363"
"Scott Bordow","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","42367"
"Scott Lauber","0","1","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","42366"
"Scott Miller","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","42378"
"Scott Priestle","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","0","1","42364"
"Shi Davidi","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","1","1","42379"
"Steve Buckley","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","1","42360"
"Steve Dilbeck","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","42370"
"Steve Politi","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","1","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","42342"
"Steve Popper","0","1","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","42358"
"Steve Simmons","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0","0","1","0","1","1","42353"
"Steve Wine","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","42367"
"Steven Gietschier","0","0","1","0","0","0","0","1","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","42357"
"Steven Marcus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","42351"
"TR Sullivan","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","1","1","42337"
"Terence Moore","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","42368"
"Thom Loverro","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","42364"
"Tim Booth","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","1","42351"
"Tim Cowlishaw","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","42367"
"Tim Kawakami","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","42357"
"Tom DAngelo","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","1","1","42347"
"Tom Dienhart","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1","0","1","0","42345"
"Tom Keegan","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","0","1","42378"
"Tom Verducci","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","42380"
"Tony Massarotti","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","42329"
"Tracy Ringolsby","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","1","0","1","0","1","0","42378"
"Troy Renck","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0","0","1","0","1","1","42374"
"Willie Smith","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","1","0","1","0","0","0","42370"
