"Alan Trammell","Barry Bonds","Billy Wagner","Brad Ausmus","Curt Schilling","David Eckstein","Edgar Martinez","Fred McGriff","Garret Anderson","Gary Sheffield","Jason Kendall","Jeff Bagwell","Jeff Kent","Jim Edmonds","Ken Griffey Jr.","Larry Walker","Lee Smith","Luis Castillo","Mark Gruzielanek","Mark McGwire","Mike Hampton","Mike Lowell","Mike Mussina","Mike Piazza","Mike Sweeney","Nomar Garciaparra","Randy Winn","Roger Clemens","Sammy Sosa","Tim Raines","Trevor Hoffman","Troy Glaus","timestamp"
"Bob Sherwin","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","42008"
"Brendan Roberts","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","1","1","0","42008"
"Brian Costello","0","1","0","0","1","0","0","0","0","1","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","1","0","41985"
"Brian Heyman","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","42010"
"Bruce Jenkins","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","1","0","42007"
"Bruce Miles","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","41997"
"C Trent Rosecrans","1","1","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","41996"
"Carl Steward","1","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","41964"
"Carlos Frias","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","1","1","1","0","41980"
"Carrie Muskat","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","42006"
"Carter Gaddis","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","42008"
"Chaz Scoggins","0","1","0","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1","1","0","42008"
"Chris Assenheimer","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","42001"
"Chris Bahr","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","41974"
"Chris DeLuca","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","1","0","41985"
"Chris Elsberry","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","1","0","1","1","0","42000"
"Chris Haft","1","0","0","0","1","0","0","0","0","1","0","1","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","42006"
"Chuck Murr","0","0","0","0","1","0","1","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","42013"
"Claire Smith","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","42008"
"Dan Bostrom","0","1","0","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","42015"
"Dan Gelston","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","42006"
"Dan Graziano","1","0","1","0","1","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","42008"
"Dan McGrath","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","42008"
"Dan Shaughnessy","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","41988"
"Danny Knobler","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1","1","0","42002"
"Dave Albee","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","42008"
"Dave Campbell","1","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","41993"
"Dave Daniel","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","1","0","0","42008"
"Dave Krieger","1","0","0","0","1","0","1","0","0","1","0","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","41640"
"Dave Perkins","1","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","42000"
"Dave Reynolds","1","0","0","0","1","0","1","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","42008"
"David Ammenheuser","0","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","1","0","41971"
"David Barron","1","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","1","0","42008"
"David Borges","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","41986"
"David Lariviere","0","0","0","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","42014"
"David Lennon","0","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","1","0","41992"
"David Maril","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","1","0","0","0","42012"
"David Wilhelm","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","42008"
"Dejan Kovacevic","0","0","0","0","1","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","42007"
"Dennis Maffezzoli","0","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","42008"
"Dennis Manoloff","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","42008"
