"Alan Trammell","Barry Bonds","Billy Wagner","Brad Ausmus","Curt Schilling","David Eckstein","Edgar Martinez","Fred McGriff","Garret Anderson","Gary Sheffield","Jason Kendall","Jeff Bagwell","Jeff Kent","Jim Edmonds","Ken Griffey Jr.","Larry Walker","Lee Smith","Luis Castillo","Mark Gruzielanek","Mark McGwire","Mike Hampton","Mike Lowell","Mike Mussina","Mike Piazza","Mike Sweeney","Nomar Garciaparra","Randy Winn","Roger Clemens","Sammy Sosa","Tim Raines","Trevor Hoffman","Troy Glaus","timestamp"
"John Harper","1","0","1","0","1","0","1","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","42006"
"John McGrath","1","0","0","0","1","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","42009"
"John Nadel","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","1","0","0","0","1","0","1","1","0","42008"
"John Perrotto","0","1","0","0","1","0","0","0","0","1","0","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","41643"
"John Shea","1","1","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","42007"
"John Tomase","1","1","0","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","41992"
"Jon Heyman","1","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","42000"
"Jon Morosi","1","1","0","0","1","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","42002"
"Jorge Ebro","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","42016"
"Jorge Ortiz","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","42008"
"Jose de Jesus Ortiz","0","1","1","0","0","0","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","41980"
"Josh Dubow","1","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","42000"
"Juan Vene","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","41977"
"Karen Guregian","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","42016"
"Ken Davidoff","1","1","0","0","1","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","41641"
"Ken Fidlin","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","42008"
"Ken Rosenthal","0","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","1","0","41999"
"Kevin Cooney","0","0","1","0","1","0","0","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","41954"
"Kevin Kernan","0","0","1","0","0","0","1","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","42008"
"Kirby Arnold","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","42008"
"La Velle Neal","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","42008"
"Larry Brooks","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","1","0","0","41989"
"Larry Millson","1","1","0","0","0","0","1","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","42012"
"Larry Stone","1","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","41992"
"Les Carpenter","1","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","42008"
"Lyle Spencer","1","0","0","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","42006"
"Marc Katz","0","0","0","0","0","0","1","1","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","42010"
"Marc Lancaster","1","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","41986"
"Marc Topkin","0","1","0","0","0","0","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","42000"
"Marcos Breton","1","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","42007"
"Mark Bradley","1","1","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","42008"
"Mark Faller","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","41990"
"Mark Gonzales","0","0","1","0","0","0","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","42003"
"Mark Hale","0","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","41986"
"Mark Herrmann","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","42003"
"Mark Kreidler","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","41993"
"Mark Maloney","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","42011"
"Mark Newman","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","42006"
"Mark Purdy","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","42008"
"Mark Saxon","0","1","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","42008"
"Mark Zuckerman","0","0","1","0","1","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","42008"
"Martin Fennelly","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","42010"
"Marty Noble","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42006"
"Mel Antonen","1","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","41989"
"Michael Knisley","0","0","1","0","0","0","1","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","42013"
"Michael Silverman","0","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","1","0","0","41996"
"Mike Bass","0","0","0","0","1","0","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","41993"
"Mike Bauman","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","42006"
"Mike Berardino","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","42006"
"Mike Dodd","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","42015"
"Mike Downey","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","42008"
"Mike Imrem","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","1","1","1","0","41997"
"Mike Klis","1","0","0","0","1","0","1","1","0","0","0","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42012"
"Mike Lefkow","0","1","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","0","0","1","0","0","0","1","0","0","0","1","0","1","1","0","42007"
"Mike Nadel","1","0","0","0","1","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","41992"
"Mike Peticca","1","0","0","0","1","0","0","1","0","0","0","1","1","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","41992"
"Mike Puma","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","42007"
"Mike Shalin","0","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","41993"
"Mike Vaccaro","0","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","1","0","41990"
"Mike Waldner","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","42008"
"Murray Chass","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42004"
"Nick Cafardo","0","1","0","0","1","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","41997"
"Nick Pietruszkiewicz","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","41993"
"Pat Caputo","1","0","0","0","1","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","1","0","41976"
"Patrick Reusse","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","42008"
"Paul Bodi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","42009"
"Paul Daugherty","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","42000"
"Paul Doyle","1","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","41985"
"Paul Gutierrez","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","42008"
"Paul Hagen","1","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","42006"
"Paul Sullivan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","42003"
"Paul White","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","41975"
"Pedro Gomez","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","42008"
"Pete Caldera","0","1","0","0","1","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","42008"
"Peter Abraham","0","1","1","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","41987"
"Peter Barzilai","1","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","41990"
"Peter Botte","0","0","0","0","1","0","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","41989"
"Peter Gammons","1","0","0","0","1","0","1","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","42007"
"Peter Kerasotis","1","0","0","0","1","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","41987"
"Peter Pascarelli","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","42008"
"Phil Rogers","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","41994"
"Randy Galloway","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42000"
"Randy Miller","0","0","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","41989"
"Ray Buck","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","42012"
"Ray Ratto","1","1","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","42008"
"Richard Griffin","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","42007"
"Richard Justice","1","0","1","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","41989"
"Richard Rupprecht","0","1","0","0","1","0","1","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","42013"
"Rick Gosselin","1","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","42013"
"Rick Morrissey","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","41961"
"Rick Plumlee","1","1","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","41986"
"Rick Telander","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","41972"
"Rob Biertempfel","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","42008"
"Rob Maaddi","0","1","0","0","1","0","0","0","0","1","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","1","0","42006"
"Rob Parker","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","1","0","42006"
"Rob Rains","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","42008"
"Roberto Colon","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","1","1","1","0","42008"
"Roch Kubatko","1","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","42008"
"Roger Mooney","1","1","0","0","1","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","42008"
"Roger Rubin","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","42000"
"Ron Chimelis","0","0","0","0","1","0","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","42000"
"Ron Kroichick","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","42010"
"Ross Newhan","1","0","0","0","1","0","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","41985"
"Sam Carchidi","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","41979"
"Scot Gregor","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","41997"
"Scott Bordow","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","42007"
"Scott Lauber","0","1","1","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","42002"
"Scott Miller","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","42007"
"Scott Priestle","0","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","1","0","0","42002"
"Sean McAdam","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42008"
"Sean McClelland","0","1","0","0","1","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","1","0","41953"
"Seth Livingstone","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1","1","0","42010"
"Shi Davidi","1","1","0","0","1","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","0","42007"
"Stephen Jacobson","1","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","41982"
"Steve Bisheff","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","42008"
"Steve Buckley","1","0","0","0","1","0","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","41994"
"Steve Henson","1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","1","1","0","0","42008"
"Steve Herrick","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","42009"
"Steve Kornacki","1","0","0","0","1","0","0","0","0","1","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","1","0","42012"
"Steve Politi","0","1","0","0","0","0","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","1","0","41985"
"Steve Popper","0","1","1","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","41994"
"Steve Simmons","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","41983"
"Steve Wine","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","41985"
"Steven Gietschier","0","0","0","0","0","0","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","41970"
"Steven Goldman","1","0","0","0","1","0","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","41992"
"Steven Marcus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","42003"
"Susan Slusser","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","42008"
"TR Sullivan","1","1","0","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","41965"
"Terence Moore","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","42006"
"Terry Pluto","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","42011"
"Thom Loverro","1","0","0","0","1","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","41957"
"Tim Cowlishaw","0","1","0","0","1","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","41983"
"Tim Dahlberg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","42008"
"Tim Kawakami","1","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","1","0","41999"
"Tim Kurkjian","1","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","42008"
"Tom Christensen","0","0","0","0","1","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","42013"
"Tom DAngelo","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","41982"
"Tom Dienhart","1","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","41984"
"Tom Haudricourt","0","1","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","1","0","42008"
"Tom Keegan","1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","1","0","0","42008"
"Tom Saladino","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","42012"
"Tom Singer","0","1","0","0","0","0","1","0","0","1","0","1","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","41985"
"Tom Verducci","0","0","0","0","1","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","42008"
"Tom Yantz","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","41989"
"Tony DeMarco","1","0","0","0","1","0","1","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","42008"
"Tony Massarotti","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"Tracy Ringolsby","1","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","41989"
"Troy Renck","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","42008"
"Vic Feuerherd","1","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","42015"
"Wallace Matthews","0","0","0","0","1","0","1","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","42008"
"Warren Mayes","1","0","1","0","1","0","1","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","42008"
