"Alan Trammell","Andre Dawson","Barry Larkin","Bert Blyleven","Dale Murphy","Dave Parker","Don Mattingly","Edgar Martinez","Fred McGriff","Harold Baines","Jack Morris","Lee Smith","Mark McGwire","Roberto Alomar","Robin Ventura","Tim Raines","timestamp"
"Paul Sullivan","0","1","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0"
"Pedro Gomez","1","1","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0"
"Peter Gammons","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","1","0"
"Phil Arvia","0","1","1","1","0","0","0","1","0","1","1","1","0","1","0","0","0"
"Phil Rogers","1","1","0","1","0","0","0","0","0","1","1","0","0","1","0","1","0"
"Philip Hersh","1","1","1","1","0","0","1","1","0","0","1","1","0","1","0","0","0"
"Robert Griffin","0","1","1","1","0","0","0","0","0","0","1","0","0","1","0","1","0"
"Scott Miller","1","1","1","1","0","0","0","0","0","0","1","0","0","1","0","1","0"
"Sean McClelland","0","1","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0"
"Seth Livingstone","0","1","1","1","0","0","0","1","1","0","0","0","1","1","0","0","0"
"TJ Quinn","0","1","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0"
"TR Sullivan","0","1","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0"
"Teddy Greenstein","0","1","0","1","0","0","1","0","0","0","0","1","0","1","0","0","0"
"Terence Moore","0","1","1","1","0","0","0","0","1","0","0","1","0","1","0","1","0"
"Tim Brown","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"Tim Kurkjian","1","1","1","1","0","0","0","1","1","0","1","0","1","1","0","1","0"
"Tom Haudricourt","0","1","1","1","0","0","0","1","1","0","1","1","0","1","0","1","0"
"Tom Keegan","0","1","1","1","0","0","0","1","0","0","1","0","0","1","0","0","0"
"Tom Pedulla","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tom Singer","1","1","1","1","0","0","0","1","0","0","1","0","0","1","0","0","0"
"Tom Verducci","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","0"
"Tony Jackson","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
"Tracy Ringolsby","1","1","1","1","0","0","0","0","0","0","1","1","0","1","0","1","0"
