Tim Brown,,1,1,,,,,,1,,,,1,,1,,,,,,1,,,1,1,,1,,,,,1,,,,10,http://bit.ly/1dSaRkL,80,95,9,13,0,0,17,2,18,0,0,0,0,0,3,10,8,5,0,0,15,0,0,,0,
Howard Bryant,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,4,http://bit.ly/1kZt6dn,-2,60,0,0,0,0,17,0,18,0,0,0,0,10,0,0,0,0,0,0,15,0,0,,36,
Steve Buckley,,1,1,,,,,,1,,,,,,1,1,,,,1,,,,1,1,,1,,,,,1,,,,10,http://bit.ly/19GdYgb,78,100,9,13,0,0,17,0,18,4,0,0,0,10,0,10,8,5,0,0,15,0,0,,0,
Don Burke,,1,1,,,,,,1,,,,1,,1,1,1,,,,,,,1,1,,,,,,,1,,,,10,http://bit.ly/1htAEVL,76,94,9,13,0,0,17,2,18,4,1,0,0,0,0,10,8,0,0,0,15,0,0,,0,
Nick Cafardo,,,1,1,,1,,,1,,,,1,,1,,,,,1,,,,1,,,,,,,,1,,1,,10,http://b.globe.com/1ejQxZS,86,95,0,13,6,6,17,2,18,0,0,0,0,10,0,10,0,0,0,0,15,3,0,,0,
Pete Caldera,,1,1,1,,1,,,1,,,,,,1,,,,,1,,,,1,,,1,,,,,1,,,,10,http://bit.ly/1cXuTvX,92,98,9,13,6,6,17,0,18,0,0,0,0,10,0,10,0,5,0,0,15,0,0,,0,
John Canzano,,,1,,,,,,1,,,,,,1,,,,,1,,,,,1,,,,1,,,1,,1,,8,http://bit.ly/1lFKD7O,52,89,0,13,0,0,17,0,18,0,0,0,0,10,0,0,8,0,5,0,15,3,0,,4,
Jim Caple,,,1,1,,1,,,1,,,,,,1,1,,,,1,,,,,1,,,,,,,1,,1,,10,http://es.pn/1hqKN5G,88,93,0,13,6,6,17,0,18,4,0,0,0,10,0,0,8,0,0,0,15,3,0,,0,
Pat Caputo,,,,,,,,,1,,,,,,1,,,1,,1,,,,,1,,,,1,,,1,,1,,8,http://bit.ly/1ceEzDD,47,78,0,0,0,0,17,0,18,0,0,2,0,10,0,0,8,0,5,0,15,3,0,,4,
Murray Chass (updated 1/5 w/ final ballot),,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,4,http://bit.ly/1cV2xi8 http://bit.ly/1galBMX,-2,60,0,0,0,0,17,0,18,0,0,0,0,10,0,0,0,0,0,0,15,0,0,,36,
