Hal Bodley,,,,1,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,1,,,,5,http://atmlb.com/13UqbxC,1/5/2015,,0,0,13,13,0,0,0,0,0,0,7,7,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,-25,18,Honorary,
David Borges,,,,,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,,1,,,,1,,,,8,http://bit.ly/1yB7Kqf,12/10/2014,,13,13,13,13,9,0,0,0,7,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,75,Boston,
Peter Botte,,,1,,,,,,,,,,,,,,1,1,1,1,,1,,,,,1,1,1,,,,1,,,,10,http://bit.ly/1E2wLD8,12/22/2014,,0,0,13,13,9,9,9,0,7,0,7,0,0,4,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,New York,
Marcos Breton,,,1,1,1,,,1,,,,,,,,,1,,1,1,,,,,,,1,1,1,,,,,,,,10,http://bit.ly/1ByP0dV,1/4/2015,,13,13,13,13,9,9,9,0,7,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,Bay Area,
Garry Brown,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,,,,,,,,,7,"http://bit.ly/1vI19Nlhttp://bit.ly/16YLeRS",12/2/2014,,0,0,13,13,9,9,9,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,-9,55,Boston,
Howard Bryant,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,3,http://es.pn/1rU0d92,1/4/2015,,0,0,13,13,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,-49,-14,ESPN,
Steve Buckley,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/16MJmvy,12/22/2014,,0,0,13,13,9,9,9,0,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,Boston,
Don Burke,,,1,1,,,,,,,,,,,,,1,1,1,1,1,,,,,,1,1,,,,,1,,,,10,http://bit.ly/1wS8fuP,1/6/2015,,0,0,13,13,9,9,9,0,0,0,7,7,0,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,,
Nick Cafardo,,,1,1,1,,,1,,,,,,,,,1,1,,1,,,,,,,1,,,,,,1,,1,,10,http://bit.ly/1E8Pn4q,12/23/2014,,13,13,13,13,9,9,0,7,0,0,7,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,Boston,
Pete Caldera,,,1,1,1,,,1,,,,,,,,,1,1,,1,,,,,,,1,,1,,,,1,,,,10,http://bit.ly/1xM8oa3,1/5/2015,,13,13,13,13,9,9,9,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,New York,
Mark Camps,,,1,1,1,,,1,,,,,,,,,1,1,,1,,,,,1,,,,1,,,,1,,,,10,http://bit.ly/1B2ElZ3,12/24/2014,,13,13,13,13,0,9,0,0,7,7,7,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,Bay Area,
Jim Caple,,,,1,1,,,1,,,,,,,,,1,,1,1,,,,,,,1,1,,,,,1,,1,,10,http://es.pn/1rU0d92,1/4/2015,,13,13,13,13,9,0,9,7,0,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,ESPN,
Pat Caputo,,,,1,,,,,,,,,,,,,1,,,1,,1,,,1,,,1,1,,,1,1,,1,,10,http://bit.ly/1BsFJGp,1/5/2015,,0,0,13,13,0,0,9,7,7,7,7,7,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,Detroit,
Sam Carchidi,,,1,1,,,,,,,,,,,,,1,,,1,,1,,,,,1,,1,,,1,1,,,,9,10 with Rose Write-in,1/1/2015,,0,0,13,13,9,9,0,0,7,0,7,7,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,68,Philadelphia,
Joe Carnicelli,,,1,1,,,,,,,,,,,,,1,,,1,,1,,,1,,1,1,1,,,,,,,1,10,Facebook,12/24/2014,,0,0,13,13,9,9,9,0,7,7,0,7,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,Honorary,
Ron Chimelis,,,1,1,,,,,,,,,,,,,1,1,,1,,1,,,1,,1,1,,,,,1,,,,10,http://bit.ly/1DGrocH + email,12/16/2014,,0,0,13,13,9,9,9,0,0,7,7,7,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,Boston,
Roberto Colon,,,1,1,1,,,1,,,,,,,,,1,,1,1,,,,,,,1,,,,1,,1,,,,10,http://bit.ly/1BDeEyk,1/5/2015,,13,13,13,13,9,9,0,0,0,0,7,7,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,Honorary,
Kevin Cooney,,,1,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,1,,,,9,http://bit.ly/1AI14Jd,12/17/2014,,0,0,13,13,9,9,9,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,80,Philadelphia,
Brian Costello,,,,1,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,,1,,,,1,1,,,10,http://bit.ly/1Ab7RgV,12/26/2014,,13,13,13,13,9,0,0,0,7,0,7,7,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,New York,
Greg Cote,,,1,1,1,,,1,,,,,1,,,,1,,,1,,,,,1,,,,,,1,,1,,,,10,http://bit.ly/1wjnf5O,1/6/2015,,13,13,13,13,0,9,0,0,0,7,7,7,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,86,Miami,
Tim Cowlishaw,,,1,1,1,,,1,,,,,,,,,1,,1,1,,,,,,,1,1,,,,,1,,,,10,http://bit.ly/1A84RDh,1/3/2015,,13,13,13,13,9,9,9,0,0,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,Dallas,
