voter,Jeff Bagwell ,Vinny Castilla,Juan Gonzalez ,Barry Larkin ,Edgar Martinez ,Don Mattingly ,Fred McGriff ,Mark McGwire ,Jack Morris ,Bill Mueller,Dale Murphy ,Rafael Palmeiro ,Tim Raines ,Lee Smith ,Alan Trammell ,Larry Walker ,Bernie Williams ,Total Votes on Ballot,Ballot URL
Jayson Stark,1,,,1,1,,1,1,1,,1,1,1,,,1,,10,http://es.pn/wIBqt9
Larry Stone,1,,,1,1,,1,1,,,,,1,,1,1,,8,http://bit.ly/snOLQB
Paul Sullivan,,,,1,,,,,,,,,1,1,,,,3,http://bit.ly/uk6RGl
TR Sullivan,1,,1,1,1,,1,1,1,,,1,1,,1,,,10,http://bit.ly/uIlKrO
John Tomase,1,,,1,1,,,1,1,,,,1,,,,,6,http://bit.ly/x4vUN5
Mark Topkin,1,,,1,,,1,1,1,,,,,1,,,,6,http://bit.ly/zlPSho
Charley Waters,,,,1,,,,,1,,,,,,,,,2,http://bit.ly/xcbwj9
David M Wilheim,1,,,1,,,1,,,,,,1,1,,,,5,http://bit.ly/tuQGlc 
Mike Vaccaro,1,,,1,1,1,,,1,,,,1,,,,,6,http://nyp.st/vqWwXb
Dave van Dyck,,,,1,,,,,1,,,,,1,,,,3,http://bit.ly/uk6RGl
Juan Vene,,,,,,,,,1,,,,,,,,,1,http://bit.ly/xPhk9V
Tom Verducci,1,,,1,,,1,,,,,,1,,,,,4,http://bit.ly/w93FQF
