,Moises Alou,Rich Aurilia,Jeff Bagwell,Craig Biggio,Barry Bonds,Aaron Boone,Tony Clark,Roger Clemens,Carlos Delgado,Jermaine Dye,Darin Erstad,Cliff Floyd,Nomar Garciaparra,Brian Giles,Tom Gordon,Eddie Guardado,Randy Johnson,Jeff Kent,Edgar Martinez,Pedro Martinez,Don Mattingly,Fred McGriff,Mark McGwire,Jack Morris,Mike Mussina,Troy Percival,Mike Piazza,Tim Raines,Curt Schilling,Jason Schmidt,Gary Sheffield,Lee Smith,John Smoltz,Sammy Sosa,Alan Trammell,Larry Walker,Known Votes,http://www.baseballthinkfactory.org/newsstand/discussion/the_2015_hof_ballot_collecting_gizmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pres. Jose de Jesus Ortiz,,,1,1,1,,,1,,,,,,,,,1,1,,1,,,,,,,1,1,,,,,1,,,,10,http://bit.ly/1zeBIWp + http://bit.ly/1B9xQmW,12/19/2014,,13,13,13,13,9,9,9,0,0,0,7,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
Jeff Passan,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,10,http://bit.ly/1wnkuTc,12/12/2014,,13,13,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Rick Plumlee,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,,1,1,,,1,1,,1,,9,http://bit.ly/1wGr9t7,12/17/2014,,0,0,13,13,0,9,9,7,7,0,7,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,72
Steve Popper,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,,1,,,,1,,,,10,http://bit.ly/1xIcYW5,12/23/2014,,13,13,13,13,9,9,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
Scott Priestle,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/1sPQnpB,12/19/2014,,0,0,13,13,9,9,9,0,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
Phil Rogers,,,1,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,1,,1,,10,http://bit.ly/1t1QChe,12/22/2014,,0,0,13,13,9,9,9,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
http://bit.ly/1CJv758,,,1,,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,,,,1,10,http://cin.ci/1B5JDTf,12/24/2014,,13,13,13,13,9,9,9,0,7,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
Ken Rosenthal,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,,1,,,,10,http://foxs.pt/1x9YU8k,12/21/2014,,0,0,13,13,9,9,9,0,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
Barry Rozner,,,,1,1,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,1,1,,,,10,http://bit.ly/1AHxh3S,12/20/2014,,13,0,13,13,9,0,9,0,7,7,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
Adam Rubin,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,10,http://es.pn/15mV27r,11/25/2014,,13,13,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Bob Ryan,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,1,,,,1,,1,,10,http://bit.ly/13BLqVa,12/23/2014,,0,0,13,13,9,9,9,7,7,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
Bob Sansevere,,,,1,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,,1,,,,1,1,,,10,http://bit.ly/1Hd2mjH,12/29/2014,,13,13,13,13,9,0,0,0,7,7,7,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
Mark Saxon,,,1,1,1,,,1,,,,,,,,,1,1,,1,,,,,,,1,1,,,,,1,,,,10,http://bit.ly/1tgaF65,12/27/2014,,13,13,13,13,9,9,9,0,0,0,7,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
Mike Shalin,,,,,1,,,1,,,,,,,,,1,,1,1,1,,,,,,1,1,1,,,,1,,,,10,Facebook,12/24/2014,,13,13,13,13,9,0,9,0,7,0,7,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
Dan Shaughnessy,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,1,,,,1,,1,,6,http://bit.ly/1uWrFyM,12/16/2014,,0,0,13,13,0,0,9,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,-16,40
Michael Silverman,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,,,,,10,http://bit.ly/1B8HHJS,12/25/2014,,13,13,13,13,9,9,9,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Steve Simmons,,,1,1,,,,,,,,,,,,,1,1,,1,,,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/1zTf3OA,12/21/2014,,0,0,13,13,9,9,9,0,7,7,7,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
https://twitter.com/NotMrTibbs/status/546387088707301376,,,1,,1,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,5,Via email - to the best of his recollection. May have voted Schilling and/or McGwire,12/20/2014,,13,13,13,13,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,-25,36
Carl Steward,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,,,,,1,,1,,10,http://bit.ly/1FRCyae,12/4/2014,,13,13,13,13,9,9,9,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Larry Stone,,,1,1,1,,,1,,,,,,,,,1,,1,1,,,,,,,1,1,,,,,1,,,,10,http://bit.ly/1wLjImr,12/12/2014,,13,13,13,13,9,9,9,0,0,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
Paul Sullivan,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,1,1,,,,6,http://trib.in/1zJsJrv,1/2/2015,,0,0,13,13,0,0,9,0,0,0,7,7,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,-16,34
TR Sullivan,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,,,,,10,http://bit.ly/1JSfxbZ,12/25/2014,,13,13,13,13,9,9,9,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
John Tomase,,,,,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,,1,,1,,1,,1,,10,http://bit.ly/1CXJRAe,1/1/2014,,13,13,13,13,9,0,0,7,7,0,7,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
Marc Topkin,,,1,1,1,,,1,,,,,,,,,1,,,1,,1,,,,,1,,,,1,,1,,,,10,http://bit.ly/1sNBEWo,12/21/2014,,13,13,13,13,9,9,0,0,0,0,7,7,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
Mike Vaccaro,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,10,http://bit.ly/1v07SO5 / http://bit.ly/1r8GySh,12/19/2014,,13,13,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Juan Vene,,,,,,,,,1,,,,,,,,1,,,1,,1,,,,,,,,,,1,1,,,,6,http://bit.ly/1xoKIoZ,12/27/2014,,0,0,13,13,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,4,-16,22
Tom Verducci,,,1,1,,,,,,,,,,,,,1,1,,1,,1,,,1,,,1,1,,,,1,,,,10,http://bit.ly/1xorSiY,1/2/2015,,0,0,13,13,0,9,9,0,7,7,7,7,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
Bernie Wilson,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,1,1,,1,,8,Via email,12/27/2014,,0,0,13,13,9,9,0,7,0,0,7,7,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,62
Anon1,,,1,1,1,,,1,,,,,,,,,1,,1,1,,,,,,,1,,1,,,,1,,,,10,,12/25/2014,,13,13,13,13,9,9,0,0,7,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
Anon2,,,1,1,,,,,,,,,,,,,1,,,1,,1,,,1,,1,1,1,,,,,,,1,10,,12/24/2014,,0,0,13,13,9,9,9,0,7,7,0,7,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
Anon3,,,1,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,1,,,,9,,1/1/2015,,0,0,13,13,9,9,9,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,80
