,Moises Alou,Rich Aurilia,Jeff Bagwell,Craig Biggio,Barry Bonds,Aaron Boone,Tony Clark,Roger Clemens,Carlos Delgado,Jermaine Dye,Darin Erstad,Cliff Floyd,Nomar Garciaparra,Brian Giles,Tom Gordon,Eddie Guardado,Randy Johnson,Jeff Kent,Edgar Martinez,Pedro Martinez,Don Mattingly,Fred McGriff,Mark McGwire,Jack Morris,Mike Mussina,Troy Percival,Mike Piazza,Tim Raines,Curt Schilling,Jason Schmidt,Gary Sheffield,Lee Smith,John Smoltz,Sammy Sosa,Alan Trammell,Larry Walker,Known Votes,http://www.baseballthinkfactory.org/newsstand/discussion/the_2015_hof_ballot_collecting_gizmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Costello,,,,1,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,,1,,,,1,1,,,10,http://bit.ly/1Ab7RgV,12/26/2014,,13,13,13,13,9,0,0,0,7,0,7,7,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
Jerry Crasnick,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/1rh7dMT,12/24/2014,,0,0,13,13,9,9,9,0,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
Tom D'Angelo,,,,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,1,,,,8,http://bit.ly/1w9eJoB,12/20/2014,,0,0,13,13,9,0,9,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,68
John Delcos,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,,,,1,1,,,,10,http://bit.ly/1BfNVHB,12/27/2014,,0,0,13,13,9,9,9,0,0,7,7,7,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
Chris De Luca,,,,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,1,,,8,http://bit.ly/1rhJvQs,12/24/2014,,13,13,13,13,9,0,0,0,0,0,7,7,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,73
Josh Dubow,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,10,http://bit.ly/1zmTrGo,12/26/2014,,13,13,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Jay Dunn,,,,1,,,,,,,,,1,,,,1,,,1,,1,,,,,1,,1,,1,1,1,,,,10,http://bit.ly/1vlodg4,12/3/2014,,0,0,13,13,9,0,0,0,7,0,7,7,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64
Mike Dyer,,,1,,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,,,,,,1,1,1,10,http://imgur.com/gULiDdy,11/25/2014,,13,13,13,13,9,9,9,7,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
Jorge Ebro,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,1,,,,5,Via email,12/25/2014,,0,0,13,13,9,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,-25,24
Gordon Edes,,,1,1,1,,,1,,,,,,,,,1,,1,1,,,,,,,1,1,1,,,,,,,,10,http://bit.ly/1JVdZ0R,12/27/2014,,13,13,13,13,9,9,9,0,7,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
Mark Faller,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/16EIDMT,12/20/2014,,0,0,13,13,9,9,9,0,7,7,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
Jeffrey Flanagan,,,,,1,,,1,,,,,,,,,1,,,1,,,1,,,,1,1,,,,1,1,1,,,10,http://bit.ly/1xck4j0,12/24/2014,,13,13,13,13,9,0,9,0,0,0,7,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
Carlos Frias,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,,,,,1,,,,8,http://bit.ly/1JQEWTn,12/24/2014,,0,0,13,13,9,9,9,0,0,0,7,7,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,67
Peter Gammons,,,1,1,,,,,,,,,,,,,1,,,1,,1,,,1,,1,1,1,,,,1,,,,10,http://bit.ly/1EFgC72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99
Michael Gee,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,10,http://bit.ly/1uveuUl,12/12/2014,,13,13,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Derrick Goold,,,1,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,1,,,,1,,,1,10,http://bit.ly/1HbmUZW,12/29/2014,,0,0,13,13,9,9,9,0,7,7,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
Mark Gonzales,,,1,,,,,,,,,,,,,,1,1,1,1,,,,,,,1,1,,,,,1,,,,8,http://trib.in/1zJsJrv,1/2/2015,,0,0,13,13,9,9,9,0,0,0,7,0,0,4,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,-4,62
Evan Grant,,,1,1,,,,,,,,,,,,,1,,,1,,,,,1,,1,1,,,,,1,,1,1,10,http://bit.ly/1w401iA,12/18/2014,,0,0,13,13,9,9,9,7,0,7,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
Teddy Greenstein,,,1,1,,,,,,,,,,,,,1,,,1,1,,,,,,1,1,1,,,1,1,,,,10,http://trib.in/1zJsJrv,1/2/2015,,0,0,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
Alan Greenwood,,,1,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,10,http://bit.ly/1CNgVuu,12/26/2014,,13,13,13,13,9,9,9,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
