voter,player,vote16,vote17,weight
Adam Mertz,Alan Trammell,0,0,0.0093226707922600145
Adam Rubin,Alan Trammell,0,1,0.001764443973736125
Alan Greenwood,Alan Trammell,0,1,0.001764443973736125
Andrew Baggarly,Alan Trammell,0,0,0.00085641471226795361
Ann Killion,Alan Trammell,0,0,0.0097704758160130929
Anonymous,Alan Trammell,0,1,0.0077384802311586589
Anthony McCarron,Alan Trammell,0,0,0.00042007353313925559
Anthony Rieber,Alan Trammell,0,0,0.0059248402723789048
Aurelio Moreno,Alan Trammell,0,0,0.0060745193520689205
Barry Bloom,Alan Trammell,0,1,0.0030126916022341224
Barry Rozner,Alan Trammell,0,0,-0.0050768309897340136
Barry Stanton,Alan Trammell,0,0,0.0093101449501657961
Bernie Miklasz,Alan Trammell,0,1,-0.0010747853348115051
Bernie Wilson,Alan Trammell,1,1,0.0085653226860245377
Bill Ballou,Alan Trammell,0,0,-0.00080582108138290353
Bill Madden,Alan Trammell,0,0,0.0064874651806506953
Bob Hertzel,Alan Trammell,0,0,0.0039718621605543628
Bob Herzog,Alan Trammell,0,0,0.0018641516174138304
Bob Hohler,Alan Trammell,0,0,0.0035180759583326063
Bob Klapisch,Alan Trammell,0,0,4.9180988574885337e-05
Bob Kuenster,Alan Trammell,1,0,-0.00150998907328278
Bob Nightengale,Alan Trammell,0,0,0.0027012311184972508
Bob Ryan,Alan Trammell,1,1,0.0014444872976475751
Bob Sherwin,Alan Trammell,0,0,0.0058109123998063006
Brendan Roberts,Alan Trammell,0,0,-0.0049770788225643112
Brian Costello,Alan Trammell,0,0,0.0058371642627870583
Brian Heyman,Alan Trammell,0,0,0.0082970035470842536
Bruce Jenkins,Alan Trammell,0,0,0.0034428016032271051
Bruce Miles,Alan Trammell,1,1,0.0051271018938006197
C Trent Rosecrans,Alan Trammell,0,1,0.0029526349182808645
Carl Steward,Alan Trammell,1,1,0.0010735947530830106
Carlos Frias,Alan Trammell,0,0,0.0026100466968649759
Carrie Muskat,Alan Trammell,1,1,0.0060676861713930483
Carter Gaddis,Alan Trammell,0,0,0.0046870579510352043
Chaz Scoggins,Alan Trammell,0,0,-0.00015656493656177788
Chris Assenheimer,Alan Trammell,1,0,0.020071856212748752
Chris Bahr,Alan Trammell,0,1,0.0049099218529853406
Chris DeLuca,Alan Trammell,0,0,0.0111963939653082
Chris Elsberry,Alan Trammell,0,0,0.035713830748231201
Chris Haft,Alan Trammell,0,1,0.0094453206865147774
Claire Smith,Alan Trammell,0,0,0.010072325183606625
Dan Gelston,Alan Trammell,0,0,0.0020017990630177515
Dan Graziano,Alan Trammell,1,1,0.0017091390229529112
Dan McGrath,Alan Trammell,1,1,0.0045929339095836519
